exam_set_id,subject,year,grade,session,syllabus,question_paper_file_name,memo_file_name,group_id,group_title,group_instructions,question_id,parent_id,question_text,marks,scenario,context,options,match_data,guide_table,memo_question_text,marker_instruction,model_answers,sub_answers,essay_structure,memo_structured_answer,memo_marks,memo_max_marks,memo_notes,memo_topic
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 1,Section 1 – Shakespeare: Coriolanus,"Answer one question, both parts (a) and (b), from this section. You should spend about 1 hour and 15 minutes on this section.
Answer both parts (a) and (b).",1(a),1,Discuss the following passage from Act 4 Scene 5 exploring Shakespeare’s use of language and dramatic effects.,15,"Enter AUFIDIUS with the second Servant.
AUFIDIUS Where is this fellow?
2 SERVANT Here, sir; I’d have beaten him like a dog, but for disturbing the lords within.
AUFIDIUS Whence com’st thou? What wouldst thou? Thy name?
Why speak’st not? Speak, man. What’s thy name?
CORIOLANUS [Unmuffling] If, Tullus,
Not yet thou know’st me, and, seeing me, dost not
Think me for the man I am, necessity
Commands me name myself.
AUFIDIUS What is thy name?
CORIOLANUS A name unmusical to the Volscians’ ears,
And harsh in sound to thine.
AUFIDIUS Say, what’s thy name?
Thou hast a grim appearance, and thy face
Bears a command in’t; though thy tackle’s torn,
Thou show’st a noble vessel. What’s thy name?
CORIOLANUS Prepare thy brow to frown – know’st thou me yet?
AUFIDIUS I know thee not. Thy name?
CORIOLANUS My name is Caius Marcius, who hath done
To thee particularly, and to all the Volsces,
Great hurt and mischief; thereto witness may
My surname, Coriolanus. The painful service,
The extreme dangers, and the drops of blood
Shed for my thankless country, are requited
But with that surname – a good memory
And witness of the malice and displeasure
Which thou shouldst bear me. Only that name remains;
The cruelty and envy of the people,
Permitted by our dastard nobles, who
Have all forsook me, hath devour’d the rest,
And suffer’d me by th’ voice of slaves to be
Whoop’d out of Rome. Now this extremity
Hath brought me to thy hearth; not out of hope,
Mistake me not, to save my life; for if
I had fear’d death, of all the men i’ th’ world
I would have ’voided thee; but in mere spite,
To be full quit of those my banishers,
Stand I before thee here. Then if thou hast
A heart of wreak in thee, that wilt revenge
Thine own particular wrongs and stop those maims
Of shame seen through thy country, speed thee straight
And make my misery serve thy turn. So use it
That my revengeful services may prove
As benefits to thee; for I will fight
Against my cank’red country with the spleen
Of all the under fiends. But if so be
Thou dar’st not this, and that to prove more fortunes
Th’art tir’d, then, in a word, I also am
Longer to live most weary, and present
My throat to thee and to thy ancient malice;
Which not to cut would show thee but a fool,
Since I have ever followed thee with hate,
Drawn tuns of blood out of thy country’s breast,
And cannot live but to thy shame, unless
It be to do thee service.
AUFIDIUS O Marcius, Marcius!
Each word thou hast spoke hath weeded from my heart
A root of ancient envy.",,,,,Coriolanus - Act 4 Scene 5,"In Section 1, part (a), the dominant assessment objective is: AO2. Analyse ways in which meanings are shaped in literary texts. Use level descriptor tables for part a) and add to part b) for total out of 30.","[""Candidates may choose to comment on the fact that this is an extract ‘of two halves’ – firstly presenting the unmasking of Coriolanus following his humiliating treatment at the hands of servants after his arrival at ‘a hall in Aufidius’s house’"", ""expressing emotions only partly under control in well-constructed rhetoric"", ""The subtle inter-relationship between Coriolanus and Aufidius demonstrated in both parts of the passage is characteristic of their complex synergy throughout the play"", ""Dramatic intensity in the question-and-answer dialogue between ‘master’ and ‘guest’ at the opening of the passage (a reversal of roles)"", ""Catechistic tone and the mounting effect of the range of questions posed by both main characters"", ""Monosyllabic, brusque nature of Aufidius’s utterances (‘What is thy name?’)"", ""The coup de théâtre indicated by the brief direction ‘Unmuffling’"", ""Pace changes in the long unravelling of Coriolanus’s final speech"", ""Rhetorical devices: long, balanced sentences; the sequencing of thoughts; the pivot at ‘But’ (public speaking techniques)"", ""Frequent repetition of the first person ‘I’ and ‘My’ in the speech"", ""Ruminations about his own name remind the audience of Coriolanus’s obsession with himself""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 1,Section 1 – Shakespeare: Coriolanus,"Answer one question, both parts (a) and (b), from this section. You should spend about 1 hour and 15 minutes on this section.
Answer both parts (a) and (b).",1(b),1,"‘The conflicts presented in the play are rarely straightforward.’
Using your knowledge of the play as a whole, show how far you agree with this view of the play Coriolanus.
Remember to support your answer with reference to different interpretations.",15,,,,,,Coriolanus - The conflicts presented in the play are rarely straightforward,"In Section 1, part (b), the equally weighted assessment objectives are AO1 and AO5. Use level descriptor tables for part b) and add to part a) for total out of 30.","[""The prompt is likely to seem true on a number of levels – from the stern domestic conflicts between the hero and his mother"", ""The fainter conflicts with his wife, son and Menenius"", ""His involvement in the local wars of the period"", ""Patrician confrontations with the people’s tribunes and his obsessive entanglement with Aufidius"", ""More than one character besides Coriolanus experiences internal conflict"", ""Conflicts create both the microcosm and macrocosm of the play"", ""Relentless tone of argument, challenge and disagreement which infects the language and action"", ""Consideration of stage and film productions (AO5) using devices such as war-ravaged settings or hidden grain-stores"", ""Nuanced analysis of public and private conflicts: family ties, expectations of patriotism, demands of ego, ruthlessness of politicians""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 2,Section 1 – Shakespeare: Hamlet,Answer both parts (a) and (b).,2(a),2,"Discuss the following passage from Act 5 Scene 1, exploring Shakespeare’s use of language and its dramatic effects.",15,"1 CLOWN What is he that builds stronger than either the mason, the shipwright, or the carpenter?
2 CLOWN The gallows-maker; for that frame outlives a thousand tenants.
1 CLOWN I like thy wit well; in good faith the gallows does well; but how does it well? It does well to those that do ill. Now thou dost ill to say the gallows is built stronger than the church; argal, the gallows may do well to thee. To ’t again, come.
2 CLOWN Who builds stronger than a mason, a shipwright, or a carpenter?
1 CLOWN Ay, tell me that, and unyoke.
2 CLOWN Marry, now I can tell.
1 CLOWN To ’t.
2 CLOWN Mass, I cannot tell.
Enter HAMLET and HORATIO, afar off.
1 CLOWN Cudgel thy brains no more about it, for your dull ass will not mend his pace with beating; and when you are ask’d this question next, say ‘a grave-maker’: the houses he makes lasts till doomsday. Go, get thee to Yaughan; fetch me a stoup of liquor. [Exit Second Clown.
[Digs and sings] In youth, when I did love, did love,
Methought it was very sweet,
To contract-o-the time for-a my behove,
O, methought there-a-was nothing-a meet.
HAMLET Has this fellow no feeling of his business, that ’a sings in grave-making?
HORATIO Custom hath made it in him a property of easiness.
HAMLET ’Tis e’en so; the hand of little employment hath the daintier sense.
1 CLOWN [Sings] But age, with his stealing steps,
Hath clawed me in his clutch,
And hath shipped me intil the land,
As if I had never been such.
[Throws up a skull.
HAMLET That skull had a tongue in it, and could sing once. How the knave jowls it to the ground, as if ’twere Cain’s jawbone, that did the first murder! This might be the pate of a politician, which this ass now o’erreaches; one that would circumvent God, might it not?
HORATIO It might, my lord.
HAMLET Or of a courtier; which could say ‘Good morrow, sweet lord! How dost thou, sweet lord?’ This might be my Lord Such-a-one, that praised my Lord Such-a-one’s horse, when ’a meant to beg it ‒ might it not?
HORATIO Ay, my lord.
HAMLET Why, e’en so; and now my Lady Worm’s, chapless, and knock’d about the mazard with a sexton’s spade. Here’s fine revolution, an we had the trick to see’t. Did these bones cost no more the breeding but to play at loggats with them? Mine ache to think on’t.",,,,,Hamlet - Act 5 Scene 1,Dominant assessment objective: AO2.,"[""The passage separates itself into two distinct parts: Clowns' humour vs Hamlet and Horatio's dialogue"", ""The laboured humour (and singing) in the Clowns offers respite from weightier issues"", ""Irony in the disjunction between the Clowns’ serious profession and their nonchalant attitude"", ""Dialogue of Hamlet and Horatio (at a distance) comments in prose on morals and behaviour outside the Court"", ""Blunt philosophising of the Clowns (including ‘argal’ for ‘ergo’) suggests pastiche of courtly usage (especially Polonius)"", ""Irony that Hamlet is unaware the grave being prepared is Ophelia’s"", ""Hamlet abolishes all class distinctions through musings about death and ‘antic’ voicing of imagined characters"", ""The ‘fine revolution’ that brings courtly pomp to a brief stay in a grave"", ""Horatio’s brief, monosyllabic comments suggest growing unease and pragmatism""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 2,Section 1 – Shakespeare: Hamlet,Answer both parts (a) and (b).,2(b),2,"‘In the play Hamlet the comedy always makes serious points.’
Using your knowledge of the play as a whole, show how far you agree with this view of the play Hamlet.
Remember to support your answer with reference to different interpretations.",15,,,,,,Hamlet - The humour always makes serious points,Equally weighted assessment objectives: AO1 and AO5.,"[""Roles of the Clowns as the most obvious overtly comic elements"", ""The plodding double-act Rosencrantz and Guildenstern"", ""The often cut scene between Polonius and Reynaldo"", ""The cameo of Osric and the traditionally comic role of Polonius"", ""Humour generated by Hamlet as a sharp satirist of human behavior and courtly affectation (‘very like a whale’)"", ""Hamlet as an afficionado of black humour (Polonius’s corpse will ‘stay till you come’)"", ""Humour as an exponent of human weakness"", ""Performance interpretations: Jacobi (BBC version) and David Tennant (2010)"", ""Polonius’s ill-managed interference and the ridiculous posturing at court (‘the harlot’s plastering art’)"", ""Collocation of laughter and death in the graveyard scene and Yorick's cameo""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 3,Section 1 – Shakespeare: Measure for Measure,Answer both parts (a) and (b).,3(a),3,"Discuss the following passage from Act 3 Scene 1, exploring Shakespeare’s use of language and its dramatic effects.",15,"Enter ISABELLA.
ISABELLA My business is a word or two with Claudio.
PROVOST And very welcome. Look, signior, here’s your sister.
DUKE Provost, a word with you.
PROVOST As many as you please.
DUKE Bring me to hear them speak, where I may be conceal’d.
[Exeunt Duke and Provost.
CLAUDIO Now, sister, what’s the comfort?
ISABELLA Why,
As all comforts are; most good, most good, indeed.
Lord Angelo, having affairs to heaven,
Intends you for his swift ambassador,
Where you shall be an everlasting leiger.
Therefore, your best appointment make with speed;
To-morrow you set on.
CLAUDIO Is there no remedy?
ISABELLA None, but such remedy as, to save a head,
To cleave a heart in twain.
CLAUDIO But is there any?
ISABELLA Yes, brother, you may live:
There is a devilish mercy in the judge,
If you’ll implore it, that will free your life,
But fetter you till death.
CLAUDIO Perpetual durance?
ISABELLA Ay, just; perpetual durance, a restraint,
Though all the world’s vastidity you had,
To a determin’d scope.
CLAUDIO But in what nature?
ISABELLA In such a one as, you consenting to’t,
Would bark your honour from that trunk you bear,
And leave you naked.
CLAUDIO Let me know the point.
ISABELLA O, I do fear thee, Claudio; and I quake,
Lest thou a feverous life shouldst entertain,
And six or seven winters more respect
Than a perpetual honour. Dar’st thou die?
The sense of death is most in apprehension;
And the poor beetle that we tread upon
In corporal sufferance finds a pang as great
As when a giant dies.
CLAUDIO Why give you me this shame?
Think you I can a resolution fetch
From flow’ry tenderness? If I must die,
I will encounter darkness as a bride
And hug it in mine arms.
ISABELLA There spake my brother; there my father’s grave
Did utter forth a voice. Yes, thou must die:
Thou art too noble to conserve a life
In base appliances. This outward-sainted deputy,
Whose settled visage and deliberate word
Nips youth i’ th’ head, and follies doth enew
As falcon doth the fowl, is yet a devil;
His filth within being cast, he would appear
A pond as deep as hell.
CLAUDIO The precise Angelo!
ISABELLA O, ’tis the cunning livery of hell
The damned’st body to invest and cover
In precise guards! Dost thou think, Claudio,
If I would yield him my virginity
Thou mightst be freed?
CLAUDIO O heavens! it cannot be.
ISABELLA Yes, he would give’t thee, from this rank offence,
So to offend him still. This night’s the time
That I should do what I abhor to name,
Or else thou diest to-morrow.
CLAUDIO Thou shalt not do’t.
ISABELLA O, were it but my life!
I’d throw it down for your deliverance
As frankly as a pin.
CLAUDIO Thanks, dear Isabel.",,,,,Measure for Measure - Act 3 Scene 1,Dominant assessment objective: AO2.,"[""Dialogue about the significance of death and its relationship to personal honour"", ""Conversation between brother and sister is overheard by Vincentio (Provost and Duke preliminary prose exchanges)"", ""Shift to formality of blank verse for Isabella and Claudio"", ""Claudio’s short, urgent questions vs Isabella’s dispassionate, coldly logical responses (‘Ay, just’)"", ""Isabella’s guarded opening tone might invite negative interpretation (spiritual honour vs family loyalty)"", ""Gulf between Isabella's thinking (eternity) and Claudio's (fear of death)"", ""Vivid imagery of death and suffering (‘fetter’; ‘corporal sufferance’; ‘darkness’)"", ""Isabella’s preparedness for martyrdom (‘my life, / I’ld throw it down…’)"", ""Claudio’s response (‘Thanks, dear Isabel’) as ironic or humorous"", ""The ‘Prenzie Crux’: the Folio ‘prenzie’ vs amended ‘Precise’ (used of Puritans)"", ""Isabella's terse judgements on the hypocrisy of the ‘outward-sainted deputy’""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 3,Section 1 – Shakespeare: Measure for Measure,Answer both parts (a) and (b).,3(b),3,"‘For a play that ends happily Measure for Measure has a lot to say about death.’
Using your knowledge of the play as a whole, show how far you agree with this view of Measure for Measure.
Remember to support your answer with reference to different interpretations.",15,,,,,,Measure for Measure - Ends happily but has a lot to say about death,Equally weighted assessment objectives: AO1 and AO5.,"[""Aspects of genre in a ‘problematic’ play"", ""Productions focusing on dark moments vs the ‘breezy’ feeling of a happy ending"", ""Comic material from the Vienna underclass and sophisticated havoc of Lucio"", ""Uncomfortable hints involving the Duke’s subterfuges"", ""The coexistence of death and comedy as a key aspect of the problematic genre"", ""Critical ideas of Tillyard regarding problem plays"", ""Death drives the plot: threatened punishment of Claudio"", ""Antiphonal speeches: ‘Be absolute for death’ and ‘Ay, but to die, and go we know not where’"", ""Barnadine’s presence on death row"", ""Comedy and death working together to portray the human condition""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 4,Section 1 – Shakespeare: Richard III,Answer both parts (a) and (b).,4(a),4,"Discuss the following passage from Act 5 Scene 3, exploring Shakespeare’s use of language and its dramatic effects.",15,"Enter the Ghost of HASTINGS.
GHOST [To Richard] Bloody and guilty, guiltily awake,
And in a bloody battle end thy days!
Think on Lord Hastings. Despair and die.
[To Richmond] Quiet untroubled soul, awake, awake!
Arm, fight, and conquer, for fair England’s sake!
Enter the Ghosts of the two young Princes.
GHOSTS [To Richard] Dream on thy cousins smothered in the Tower.
Let us be lead within thy bosom, Richard,
And weigh thee down to ruin, shame, and death!
Thy nephews’ souls bid thee despair and die.
[To Richmond] Sleep, Richmond, sleep in peace, and wake in joy;
Good angels guard thee from the boar’s annoy!
Live, and beget a happy race of kings!
Edward’s unhappy sons do bid thee flourish.
Enter the Ghost of LADY ANNE, his wife.
GHOST [To Richard] Richard, thy wife, that wretched Anne thy wife
That never slept a quiet hour with thee
Now fills thy sleep with perturbations.
To-morrow in the battle think on me,
And fall thy edgeless sword. Despair and die.
[To Richmond] Thou quiet soul, sleep thou a quiet sleep;
Dream of success and happy victory.
Thy adversary’s wife doth pray for thee.
Enter the Ghost of BUCKINGHAM.
GHOST [To Richard] The first was I that help’d thee to the crown;
The last was I that felt thy tyranny.
O, in the battle think on Buckingham,
And die in terror of thy guiltiness!
Dream on, dream on of bloody deeds and death;
Fainting, despair; despairing, yield thy breath!
[To Richmond] I died for hope ere I could lend thee aid;
But cheer thy heart and be thou not dismay’d:
God and good angels fight on Richmond’s side;
And Richard falls in height of all his pride.
[The Ghosts vanish. Richard starts out of his dream.
KING RICHARD Give me another horse. Bind up my wounds.
Have mercy, Jesu! Soft! I did but dream.
O coward conscience, how dost thou afflict me!
The lights burn blue. It is now dead midnight.
Cold fearful drops stand on my trembling flesh.
What do I fear? Myself? There’s none else by.
Richard loves Richard; that is, I am I.
Is there a murderer here? No ‒ yes, I am.
Then fly. What, from myself? Great reason why ‒
Lest I revenge. What, myself upon myself!
Alack, I love myself. Wherefore? For any good.
That I myself have done unto myself?
O, no! Alas, I rather hate myself
For hateful deeds committed by myself!
I am a villain; yet I lie, I am not.
Fool, of thyself speak well. Fool, do not flatter.
My conscience hath a thousand several tongues,
And every tongue brings in a several tale,
And every tale condemns me for a villain.
Perjury, perjury, in the high’st degree;
Murder, stern murder, in the dir’st degree;
All several sins, all us’d in each degree,
Throng to the bar, crying all ‘Guilty! guilty!’
I shall despair. There is no creature loves me;
And if I die no soul will pity me:
And wherefore should they, since that I myself
Find myself no pity to myself?
Methought the souls of all that I had murder’d
Came to my tent, and every one did threat
To-morrow’s vengeance on the head of Richard.",,,,,Richard III - Act 5 Scene 3,Dominant assessment objective: AO2.,"[""Night before the Battle of Bosworth"", ""Highly stylized interventions of ghosts offering a reprise of tragic action"", ""Richard’s passionate response in soliloquy"", ""Sense of dramatic pace and tragic inevitability (just deserts)"", ""Antiphonal quality: each ghost praises Richmond and condemns Richard"", ""Cumulative effect using exclamation, imperatives, and cataloguing"", ""Apparitions as a ‘dream’ or expressionistic projection of guilt and fear"", ""Richard’s monologue: repetition, halting, about-turns, questioning, exclamatory, monosyllabic"", ""Richard becomes his own worst accuser"", ""Irregular linguistic effects pointing towards mental decline and loss of moral courage""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 4,Section 1 – Shakespeare: Richard III,Answer both parts (a) and (b).,4(b),4,"‘The play Richard III dramatises the conflict between good and evil.’
Using your knowledge of the play as a whole, show how far you agree with this view.
Remember to support your answer with reference to different interpretations.",15,,,,,,Richard III - Conflict between good and evil,Equally weighted assessment objectives: AO1 and AO5.,"[""Richard as demonized via historical sources (violation of innocence/princes, cruelty to friends)"", ""Bosworth as a symbolic battle; reconciliation ending with Eucharistic imagery (Morality tradition)"", ""Subtlety in presenting good and evil: ‘grey areas’ and historical polarization"", ""Richard as an ‘admirable’ or ‘attractive’ villain who plays the devil with style"", ""Impact of famous stage, film, and television interpretations on audience perception"", ""Ways in which ‘good’ characters are drawn into or complicit with the king’s evil""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 5,Section 1 – Shakespeare: The Tempest,Answer both parts (a) and (b).,5(a),5,"Discuss the following passage from Act 2 Scene 1, exploring Shakespeare’s use of language and its dramatic effects.",15,"SEBASTIAN Sir, you may thank yourself for this great loss,
That would not bless our Europe with your daughter,
But rather lose her to an African;
Where she, at least, is banish’d from your eye,
Who hath cause to wet the grief on’t.
ALONSO Prithee, peace.
SEBASTIAN You were kneel’d to, and importun’d otherwise
By all of us; and the fair soul herself
Weigh’d between loathness and obedience at
Which end o’ th’ beam should bow. We have lost your son,
I fear, for ever. Milan and Naples have
Moe widows in them of this business’ making,
Than we bring men to comfort them;
The fault’s your own.
ALONSO So is the dear’st o’ th’ loss.
GONZALO My lord Sebastian,
The truth you speak doth lack some gentleness,
And time to speak it in; you rub the sore,
When you should bring the plaster.
SEBASTIAN Very well.
ANTONIO And most chirurgeonly.
GONZALO It is foul weather in us all, good sir,
When you are cloudy.
SEBASTIAN Fowl weather?
ANTONIO Very foul.
GONZALO Had I plantation of this isle, my lord –
ANTONIO He’d sow ’t with nettle-seed.
SEBASTIAN Or docks, or mallows.
GONZALO And were the king on’t, what would I do?
SEBASTIAN Scape being drunk for want of wine.
GONZALO I’ th’ commonwealth I would by contraries
Execute all things; for no kind of traffic
Would I admit; no name of magistrate;
Letters should not be known; riches, poverty,
And use of service, none; contract, succession,
Bourn, bound of land, tilth, vineyard, none;
No use of metal, corn, or wine, or oil;
No occupation; all men idle, all;
And women too, but innocent and pure;
No sovereignty –
SEBASTIAN Yet he would be king on’t.
ANTONIO The latter end of his commonwealth forgets the beginning.
GONZALO All things in common nature should produce
Without sweat or endeavour. Treason, felony,
Sword, pike, knife, gun, or need of any engine,
Would I not have; but nature should bring forth,
Of it own kind, all foison, all abundance,
To feed my innocent people.
SEBASTIAN No marrying ’mong his subjects?
ANTONIO None, man; all idle; whores and knaves.
GONZALO I would with such perfection govern, sir,
T’ excel the golden age.
SEBASTIAN Save his Majesty!
ANTONIO Long live Gonzalo!",,,,,The Tempest - Act 2 Scene 1,Dominant assessment objective: AO2.,"[""Fractious and negative mood amongst Italian nobles"", ""Sebastian’s regret and blame vs Alonso’s monosyllabic attempts to curb him"", ""Antonio’s flippant character (‘And most chirurgeonly’)"", ""Gonzalo’s bravery, kindness, and wisdom (positive vision of humanity)"", ""Gonzalo’s ‘commonwealth’ as pre-Capitalist and Utopian (Edenic vision)"", ""Gonzalo’s measured blank verse vs Sebastian/Antonio’s cruel wit in prose"", ""Listing technique with cumulative effect in Gonzalo’s speeches"", ""Close paraphrase of Montaigne’s essay ‘Of Cannibals’""]",,,,15,,,
9f3b4f47-5835-4b35-b96a-3a8cfa6ff913,A Level English Literature,2019,12,MAY/JUNE,H472/01,OCR-A-Level-English-Literature-Paper-1-QP.pdf,OCR-A-Level-English-Literature-Paper-1-MS.pdf,QUESTION 5,Section 1 – Shakespeare: The Tempest,Answer both parts (a) and (b).,5(b),5,"‘The play encourages us to admire idealistic values such as those of Gonzalo.’
Using your knowledge of the play as a whole, show how far you agree with this view of The Tempest.
Remember to support your answer with reference to different interpretations.",15,,,,,,The Tempest - Admiring idealistic values such as those of Gonzalo,Equally weighted assessment objectives: AO1 and AO5.,"[""Themes of idealism, opportunism, cruelty, and revenge"", ""Development of idealism in performance"", ""Prospero as an idealist interested in discipline and restraint"", ""Miranda’s instinctive ‘brave new world’ attitude and forgiveness"", ""World views of Ariel (virtue vs vengeance) and Caliban (dreams and poetry)"", ""The audience's potential for a ‘sea-change’ in values (matching Alonso)"", ""Gonzalo’s moral vision in the final scene (‘Was Milan thrust from Milan…’)"", ""Felix culpa: a happy sin meriting redemption""]",,,,15,,,
