exam_set_id,subject,year,grade,session,syllabus,question_paper_file_name,memo_file_name,group_id,group_title,group_instructions,question_id,parent_id,question_text,marks,scenario,context,options,match_data,guide_table,memo_question_text,marker_instruction,model_answers,sub_answers,essay_structure,memo_structured_answer,memo_marks,memo_max_marks,memo_notes,memo_topic
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 1 & 2,American Literature 1880–1940,"Answer Question 1. Then answer one question from 2 (a), 2 (b) or 2 (c). You should spend 1 hour and 15 minutes on each question.",1,,"Write a critical appreciation of this passage, relating your discussion to your reading of American Literature 1880–1940.",30,"This passage is set in the Wild West in 1885. The local men have heard that one of their number has been killed by cattle thieves. The Baptist minister, Reverend Osgood, is afraid that they are forming a lynch mob to go after the cattle thieves, and is trying to restrain them.

Osgood suddenly went out to the two men by the horse. He went busily, as if he didn’t want to, but was making himself. His bald head was pale in the sun. The wind fluttered his coat and the legs of his trousers. He looked helpless and timid. I knew he was trying to do what he thought was right, but he had no heart in his effort.
‘Farnley,’ he said, in a voice which was too high from being forced, ‘Farnley, if such an awful thing has actually occurred, it is the more reason that we should retain our self-possession. In such a position, Farnley, we are likely to lose our reason and our sense of justice.’
‘Men,’ he orated to us, ‘let us not act hastily; let us not do that which we will regret. We must act, certainly, but we must act in a reasoned and legitimate manner, not as a lawless mob. It is not mere blood that we want; we are not Indians, savages to be content with a miserable, sneaking revenge. We desire justice, and justice has never been obtained in haste and strong feeling.’ I thought he intended to say more, but he stopped there and looked at us pathetically. He talked with no more conviction than he walked.
The men at the edge of the walk stirred and spit and felt their faces. It was not Osgood, really, who was delaying them, but uncertainty, and perhaps the fear that they were going to hurt somebody they knew. They had been careful a long time.
Farnley paid no attention, but having admitted he would wait, just sat his saddle rigidly. His horse knew something was wrong, and kept swinging his stern, his heels chopping. Farnley let him pivot. He reared a little and swung his tail back toward the Reverend. Osgood backed away hurriedly. One of the men laughed. Osgood did look queer, feinting and wavering out there. Moore looked back at us angrily. Farnley’s back had gone stiff under the cowhide vest. The man who had laughed pulled his hat down and muttered.
‘We’ll organise a posse right here, Jeff,’ Moore promised. ‘If we go right, we’ll get what we’re after.’ For Moore, that was begging. He waited, looking up at Farnley.
Then Farnley pulled his horse around slowly, so he sat facing us.
‘Well, make your posse,’ he said. He sat watching us as if he hated us all. His cheeks were twitching.
Canby was still leaning in the door behind us, his towel in his hand. ‘Somebody had better get the sheriff, first thing,’ he advised. He didn’t sound as if it mattered to him whether we got the sheriff or not.
‘And Judge Tyler,’ Osgood said. He was impressed by the suggestion, and came over to stand in front of us, closer. ‘Judge Tyler must be notified,’ he said.
‘To hell with that,’ somebody told him. That started others. ‘We know what that’ll mean,’ yelled another. A third shouted, ‘We know what that’ll mean is right. We don’t need no trial for this business. We’ve heard enough of Tyler and his trials.’ The disturbance spread. Men began to get on their horses.

Walter Van Tilburg Clark, The Ox-Bow Incident (1940)",,,,,Critical appreciation of the passage relating to American Literature 1880–1940,The dominant assessment objective is AO2 (Analyse ways in which meanings are shaped in literary texts). AO1 and AO3 are also assessed. Use the Level Descriptors for Critical appreciation of an unseen passage.,"[""Passage is written in the first person; narrator is one of the assembled men."", ""Osgood’s characterisation: pale, balding man who seems out of place in the Wild West."", ""Osgood as a figure of fun: high voice, ‘pathetic’ manner, afraid, desperate to exert control."", ""Anxiety for authority: wishes to involve the sheriff and judge; offers little authority himself despite being a Baptist minister."", ""Speech styles: Osgood’s ‘orating’ vs. the men’s simpler, direct address (‘To hell with that.’)."", ""Context: Wild West in the 1880s; 1940 date of composition provides distance/perspective."", ""Social issues: Osgood’s denigration of ‘Indians’ as ‘savages’ is racist."", ""Tone: Anger and desire for action are in the ascendancy; trouble is likely to ensue."", ""Links: The Grapes of Wrath, Adventures of Huckleberry Finn (lawlessness and challenge to authority).""]",,,,30,,This indicative content is not prescriptive nor exclusive; reward original but well-focused answers.,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 1 & 2,American Literature 1880–1940,"Answer Question 1. Then answer one question from 2 (a), 2 (b) or 2 (c). You should spend 1 hour and 15 minutes on each question.",2(a),2,"F Scott Fitzgerald: The Great Gatsby
‘In American literature, success is often worshipped for its own sake.’
By comparing The Great Gatsby with at least one other text prescribed for this topic, discuss how far you agree with this view.",30,"In your answer to Question 2, you must compare at least two texts from the following list. At least one of these must be taken from the two texts given at the top of the list in bold type.

F Scott Fitzgerald: The Great Gatsby
John Steinbeck: The Grapes of Wrath

Henry James: The Portrait of a Lady
Mark Twain: Adventures of Huckleberry Finn
Theodore Dreiser: Sister Carrie
Willa Cather: My ntonia
Edith Wharton: The Age of Innocence
William Faulkner: The Sound and the Fury
Ernest Hemingway: A Farewell to Arms
Richard Wright: Native Son",,,,,F Scott Fitzgerald: The Great Gatsby - success worshipped for its own sake,,,,"{""conclusion"": [""Links to other texts: Sister Carrie (journey to success), The Age of Innocence (old vs. new money).""], ""introduction"": [""Offer a working definition of ‘success’."", ""Dominant assessment objective is AO3 (Context).""], ""body_sections"": [{""points"": [""The ‘roaring twenties’ context implies success is understood in terms of material wealth."", ""The ‘rags to riches’ story of James Gatz/Jay Gatsby."", ""Glamorous rise hints at mystery and corruption (Prohibition/liquor sales).""], ""sub_topic"": ""Material Success and the Roaring Twenties""}, {""points"": [""Gatsby embodies the American Dream through his success and dubious means."", ""People who flock to his parties admire wealth for its own sake without concern for sources."", ""Material success is key to Nick Carraway’s fascination with Gatsby.""], ""sub_topic"": ""The American Dream and Perception""}, {""points"": [""Gatsby himself may not worship success for its own sake; it is a means to achieve his romantic dream (Daisy)."", ""Success leaves him outside 'old money' circles (Tom and Daisy); material success is not enough here.""], ""sub_topic"": ""Gatsby as an Exception""}]}",,,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 1 & 2,American Literature 1880–1940,"Answer Question 1. Then answer one question from 2 (a), 2 (b) or 2 (c). You should spend 1 hour and 15 minutes on each question.",2(b),2,"John Steinbeck: The Grapes of Wrath
‘American literature shows that people are better off in groups than as individuals.’
By comparing The Grapes of Wrath with at least one other text prescribed for this topic, discuss how far you agree with this view.",30,"In your answer to Question 2, you must compare at least two texts from the following list. At least one of these must be taken from the two texts given at the top of the list in bold type.

F Scott Fitzgerald: The Great Gatsby
John Steinbeck: The Grapes of Wrath

Henry James: The Portrait of a Lady
Mark Twain: Adventures of Huckleberry Finn
Theodore Dreiser: Sister Carrie
Willa Cather: My ntonia
Edith Wharton: The Age of Innocence
William Faulkner: The Sound and the Fury
Ernest Hemingway: A Farewell to Arms
Richard Wright: Native Son",,,,,John Steinbeck: The Grapes of Wrath - people better off in groups than as individuals,,,,"{""conclusion"": [""Links to other texts: Native Son (disadvantaged groups), The Great Gatsby (contrast via individual focus).""], ""introduction"": [""Contrast The Grapes of Wrath with novels foregrounding individual complexities."", ""Identify the focus on a whole class of disadvantaged people.""], ""body_sections"": [{""points"": [""Condemnation of capitalist interests (Chapter 14: 'I' vs. 'we')."", ""Context of Great Depression; Steinbeck criticized for ‘communist propaganda’."", ""The group is consistently preferred to the individual in this novel.""], ""sub_topic"": ""Moral and Social Energy""}, {""points"": [""Joad family members work to provide for and protect the weaker members."", ""Symbolism of the conclusion: Rose of Sharon offering her breast to a starving stranger.""], ""sub_topic"": ""The Joad Family""}, {""points"": [""Characters are simply drawn to represent thousands of poverty-stricken families."", ""Jim Casy: former preacher becoming a political activist for the people.""], ""sub_topic"": ""Characters as Representatives""}]}",,,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 1 & 2,American Literature 1880–1940,"Answer Question 1. Then answer one question from 2 (a), 2 (b) or 2 (c). You should spend 1 hour and 15 minutes on each question.",2(c),2,"‘In American literature, suffering is often undeserved.’
By comparing at least two texts prescribed for this topic, discuss how far you have found this to be the case.
In your answer you must include discussion of either The Great Gatsby and/or The Grapes of Wrath.",30,"In your answer to Question 2, you must compare at least two texts from the following list. At least one of these must be taken from the two texts given at the top of the list in bold type.

F Scott Fitzgerald: The Great Gatsby
John Steinbeck: The Grapes of Wrath

Henry James: The Portrait of a Lady
Mark Twain: Adventures of Huckleberry Finn
Theodore Dreiser: Sister Carrie
Willa Cather: My ntonia
Edith Wharton: The Age of Innocence
William Faulkner: The Sound and the Fury
Ernest Hemingway: A Farewell to Arms
Richard Wright: Native Son",,,,,Suffering is often undeserved in American literature,,,,"{""conclusion"": [""Links to other texts: My Ántonia (Mr Shimerda's suicide), Native Son (struggles of Bigger Thomas).""], ""introduction"": [""Compare at least two texts to discuss the nature of suffering.""], ""body_sections"": [{""points"": [""Gatsby's suffering despite his ‘extraordinary gift for hope’."", ""Myrtle and George Wilson: limited opportunities and disproportionate suffering in attempts to escape."", ""Blame on the Buchanans: ‘careless people’ who retreat into money."", ""American society offers little respite to the vulnerable; only the privileged are insulated.""], ""sub_topic"": ""The Great Gatsby""}, {""points"": [""Deprivation and misery of the Joads and thousands of others fleeing environmental/economic disaster."", ""Deaths of the Joad grandparents and the stillbirth of Rose of Sharon’s baby."", ""The weak are exploited rather than supported.""], ""sub_topic"": ""The Grapes of Wrath""}]}",,,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 3 & 4,The Gothic,"Answer Question 3. Then answer one question from 4 (a), 4 (b) or 4 (c). You should spend 1 hour and 15 minutes on each question.",3,,"Write a critical appreciation of this passage, relating your discussion to your reading of the Gothic.",30,"This passage is set in New England, now part of the United States, early in the eighteenth century.

The moonbeams came through two deep and narrow windows and showed a spacious chamber richly furnished in an antique fashion. From one lattice the shadow of the diamond panes was thrown upon the floor; the ghostly light through the other slept upon a bed, falling between the heavy silken curtains and illuminating the face of a young man. But how quietly the slumberer lay! how pale his features! And how like a shroud the sheet was wound about his frame! Yes, it was a corpse in its burial-clothes.
Suddenly the fixed features seemed to move with dark emotion. Strange fantasy! It was but the shadow of the fringed curtain waving betwixt the dead face and the moonlight as the door of the chamber opened and a girl stole softly to the bedside. Was there delusion in the moonbeams, or did her gesture and her eye betray a gleam of triumph as she bent over the pale corpse, pale as itself, and pressed her living lips to the cold ones of the dead? As she drew back from that long kiss her features writhed as if a proud heart were fighting with its anguish. Again it seemed that the features of the corpse had moved responsive to her own. Still an illusion. The silken curtains had waved a second time betwixt the dead face and the moonlight as another fair young girl unclosed the door and glided ghostlike to the bedside. There the two maidens stood, both beautiful, with the pale beauty of the dead between them. But she who had first entered was proud and stately, and the other a soft and fragile thing.
‘Away!’ cried the lofty one. ‘Thou hadst him living; the dead is mine.’
‘Thine!’ returned the other, shuddering. ‘Well hast thou spoken; the dead is thine.’
The proud girl started and stared into her face with a ghastly look, but a wild and mournful expression passed across the features of the gentle one, and, weak and helpless, she sank down on the bed, her head pillowed beside that of the corpse and her hair mingling with his dark locks. A creature of hope and joy, the first draught of sorrow had bewildered her.
‘Edith!’ cried her rival.
Edith groaned as with a sudden compression of the heart, and, removing her cheek from the dead youth’s pillow, she stood upright, fearfully encountering the eyes of the lofty girl.
‘Wilt thou betray me?’ said the latter, calmly.
‘Till the dead bid me speak I will be silent,’ answered Edith. ‘Leave us alone together. Go and live many years, and then return and tell me of thy life. He too will be here. Then, if thou tellest of sufferings more than death, we will both forgive thee.’
‘And what shall be the token?’ asked the proud girl, as if her heart acknowledged a meaning in these wild words.
‘This lock of hair,’ said Edith, lifting one of the dark clustering curls that lay heavily on the dead man’s brow.
The two maidens joined their hands over the bosom of the corpse and appointed a day and hour far, far in time to come for their next meeting in that chamber.

Nathaniel Hawthorne, ‘The White Old Maid’ (1835)",,,,,Critical appreciation of the passage relating to the Gothic,The dominant assessment objective is AO2. Use the Level Descriptors for Critical appreciation of an unseen passage.,"[""Setting: Opulence and antique style suggests an ancestral home (common Gothic trope)."", ""Historical air: Story set some hundred years before the date of composition."", ""Atmosphere: Moonlight adds to the ghostly atmosphere created by the corpse of the young man."", ""Tone: Morbid nature of the scene in a chamber of death; sensational tone via question marks and exclamations."", ""Characters: Contrast between two young women—Edith (‘soft and fragile’) vs. the other woman (‘proud and stately’)."", ""Convention: The two women may exemplify the Gothic convention of the doppelganger."", ""Dialogue: Archaic and dramatic qualities (‘Well hast thou spoken…’)."", ""Plot: Strange bargain reminiscent of traditional tales; provides suspense for a future follow-up meeting."", ""Links: The Bloody Chamber (traditional settings/tales), The Picture of Dorian Gray (doppelganger).""]",,,,30,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 3 & 4,The Gothic,"Answer Question 3. Then answer one question from 4 (a), 4 (b) or 4 (c). You should spend 1 hour and 15 minutes on each question.",4(a),4,"Bram Stoker: Dracula
‘In Gothic literature, there is no escape from the past.’
Consider how far you agree with this statement by comparing Dracula with at least one other text prescribed for this topic.",30,"In your answer to Question 4, you must compare at least two texts from the following list. At least one of these must be taken from the two texts given at the top of the list in bold type.

Bram Stoker: Dracula
Angela Carter: The Bloody Chamber and Other Stories*

William Beckford: Vathek
Ann Radcliffe: The Italian
Mary Shelley: Frankenstein
Oscar Wilde: The Picture of Dorian Gray
William Faulkner: Light in August
Cormac McCarthy: Outer Dark
Iain Banks: The Wasp Factory
Toni Morrison: Beloved

*Candidates writing about The Bloody Chamber and Other Stories should select material from the whole text.",,,,,Bram Stoker: Dracula - no escape from the past,,,,"{""conclusion"": [""Links to other texts: The Italian (historical setting), Beloved (haunting of personal/communal past).""], ""introduction"": [""Attachment to the past and historical settings are common Gothic features.""], ""body_sections"": [{""points"": [""Harker stepping into ‘medieval Transylvania’ vs. late Victorian England."", ""Primitive superstitions: landlady at Bistritz (rosary), crowd at inn (evil eye)."", ""Dracula’s family history: remote, ancient, and mysterious (references to ‘Arabian Nights’ and ‘Hamlet’s father’).""], ""sub_topic"": ""Historical Settings vs. Victorian Modernity""}, {""points"": [""Forward-looking Victorian society (telegraph, typewriter) vs. ancient world (crosses, garlic, stakes)."", ""The ‘Crew of Light’ uses ancient methods to fight an ancient evil; they cannot escape the past.""], ""sub_topic"": ""Conflict of Eras""}]}",,,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 3 & 4,The Gothic,"Answer Question 3. Then answer one question from 4 (a), 4 (b) or 4 (c). You should spend 1 hour and 15 minutes on each question.",4(b),4,"Angela Carter: The Bloody Chamber and Other Stories*
‘Gothic fiction suggests that very primitive forces lie beneath civilised life.’
By comparing The Bloody Chamber and Other Stories* with at least one other text prescribed for this topic, discuss how far you agree with this view.",30,"In your answer to Question 4, you must compare at least two texts from the following list. At least one of these must be taken from the two texts given at the top of the list in bold type.

Bram Stoker: Dracula
Angela Carter: The Bloody Chamber and Other Stories*

William Beckford: Vathek
Ann Radcliffe: The Italian
Mary Shelley: Frankenstein
Oscar Wilde: The Picture of Dorian Gray
William Faulkner: Light in August
Cormac McCarthy: Outer Dark
Iain Banks: The Wasp Factory
Toni Morrison: Beloved

*Candidates writing about The Bloody Chamber and Other Stories should select material from the whole text.",,,,,Angela Carter: The Bloody Chamber and Other Stories - primitive forces beneath civilised life,,,,"{""conclusion"": [""Links to other texts: Dracula (superstition in modern life), The Picture of Dorian Gray (indulgence beneath beauty).""], ""introduction"": [""Focus on stories exhibiting instinctive or uncontrolled behavior beneath a civilised veneer.""], ""body_sections"": [{""points"": [""Title story: Paris setting (champagne, opera) vs. the Marquis’ violent/murderous treatment of wives."", ""Primitive urges vs. decadent result of super-civilised existence.""], ""sub_topic"": ""Civilization vs. Urge""}, {""points"": [""‘The Werewolf’: ‘harsh, brief, poor lives’ of the northern country."", ""The girl exploits superstition to murder her grandmother; primitive energy of the stoning villagers.""], ""sub_topic"": ""The Werewolf and Superstition""}, {""points"": [""‘The Tiger’s Bride’: revealed beast in the woman as a celebration of primitive sexual energy.""], ""sub_topic"": ""Sexual Energy""}]}",,,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 3 & 4,The Gothic,"Answer Question 3. Then answer one question from 4 (a), 4 (b) or 4 (c). You should spend 1 hour and 15 minutes on each question.",4(c),4,"‘Gothic literature explores the fascination for what is forbidden.’
By comparing at least two texts prescribed for this topic, discuss how far you have found this to be the case.
In your answer you must include discussion of either Dracula and/or The Bloody Chamber and Other Stories*.",30,"In your answer to Question 4, you must compare at least two texts from the following list. At least one of these must be taken from the two texts given at the top of the list in bold type.

Bram Stoker: Dracula
Angela Carter: The Bloody Chamber and Other Stories*

William Beckford: Vathek
Ann Radcliffe: The Italian
Mary Shelley: Frankenstein
Oscar Wilde: The Picture of Dorian Gray
William Faulkner: Light in August
Cormac McCarthy: Outer Dark
Iain Banks: The Wasp Factory
Toni Morrison: Beloved

*Candidates writing about The Bloody Chamber and Other Stories should select material from the whole text.",,,,,Gothic literature explores the fascination for what is forbidden,,,,"{""conclusion"": [""Links to other texts: The Wasp Factory (death/decay), Frankenstein (overreaching research).""], ""introduction"": [""Must include discussion of either Dracula and/or The Bloody Chamber and Other Stories.""], ""body_sections"": [{""points"": [""Sexual transgression: homosexual undertones with Harker, Lucy Westenra’s ‘unsuitable’ appetite."", ""Encounter with seductive sisters: ‘burning desire’."", ""Forbidden religion: dangers of straying from Protestantism into ancient evil."", ""Transgression depicted as more exciting/attractive than the orderly alternative.""], ""sub_topic"": ""Victorian Morality in Dracula""}, {""points"": [""The locked room in the title story (Bluebeard)."", ""Female sexual appetite as positive (The Tiger’s Bride)."", ""Male sexual fantasy and forbidden desires (The Snow Child).""], ""sub_topic"": ""The Forbidden in The Bloody Chamber""}]}",,,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 5 & 6,Dystopia,"Answer Question 5. Then answer one question from 6 (a), 6 (b) or 6 (c). You should spend 1 hour and 15 minutes on each question.",5,,"Write a critical appreciation of this passage, relating your discussion to your reading of dystopian literature.",30,"This passage is set in the city of Darwin C in a totalitarian regime where reproduction is controlled by the ruling powers, known as the Protectors. In this passage, citizens are punished for enabling a birth to take place outside of state control.

Heads bent, the prisoners are pushed into the room. Prisoners 730004, 730005, 730006, 730007 are pushed into the room, and they nod their recognition quickly, not wanting to incriminate each other.
Prisoner 730004 lifts her head and sees before her the servants of the Protectors, called Protection Scientists. Half a dozen men, hard and vital, the beneficiaries of intensive courses of gene therapy. They are the elite guardians of this civilisation; they act to protect the species – their actions justified by this aim. Their lofty phrases, all those phrases they threaded around her, as they are threaded about Darwin C, woven across a thousand walls – they believe them all, coldly, rigidly. To Prisoner 730004, they look alike, as she glances at their faces one by one – her glance rushed and nervous, because she knows they have come to condemn her. Perhaps she thinks they are alike because their faces phrase the same attitude of mind, this absolute conviction. Nothing will shatter this conviction, she thinks, as she scans them with her weary eyes. They do not look at her. The Head Scientist – taller and sterner still – appears among them, wearing a grey robe. He is old, but he has been repeatedly rejuvenated, his cells replaced; he is a hybrid, an ageing body filled with borrowed life. Now one of the Scientists says, ‘Line them up.’ And the guards obey them. Prisoner 730004 can barely stand, fear has softened her limbs, but a guard grabs her and she is lined up anyway.
Another Protection Scientist says, ‘We regret to inform you, Prisoners, that you have been found guilty of conspiring against the survival of the species, and therefore you will be processed and conveyed elsewhere.’
Involuntarily they gasp. Elsewhere means the mass-scale farms, or an Institution for the Improvement of the Reason. They will be dispersed; there are innumerable such places. Prisoner 730004 looks at Oscar, sees he has been numbered 730005, and she wants to fling her arms around him, weep with him – but her hands are tied. His eyes are on the floor; he looks too shocked and broken to raise his head.
‘You should be grateful for the compassion and clemency of the Protectors,’ a Protection Scientist is saying. ‘In other, less advanced civilisations your crimes would be punishable by death.’
‘There is something else,’ says another of the Protection Scientists. Very slowly, enunciating his words clearly, so there can be no mistake, he says, ‘Your co-conspirator, the egg donor you called Birgitta, has been found. The Protection Agents tried to protect her, but she died in the struggle.’
‘She has been killed?’ says Prisoner 730004, too horrified now to stay silent. She sees Oscar slump forward as if a weight has fallen on his back, and for a moment she closes her eyes. It is too much to imagine.

Joanna Kavenna, The Birth of Love (2010)",,,,,Critical appreciation of the passage relating to dystopian literature,The dominant assessment objective is AO2. Use the Level Descriptors for Critical appreciation of an unseen passage.,"[""Point of View: Written in third person but from the perspective of female character, Prisoner 730004."", ""Tense: Historic present gives a sense of immediacy to events."", ""Language: Depersonalisation of prisoners (referred to by number rather than name)."", ""Scientific imagery: Frequent use of scientific language; authority figures called ‘Protection Scientists’ using gene therapy."", ""Naming: City name 'Darwin C' suggests systematic administration and devotion to evolutionary improvement (Charles Darwin)."", ""Euphemisms: ‘processed and conveyed elsewhere’ and ‘Institute for the Improvement of Reason’ have a sinister ring."", ""Comparison: The ‘Institute’ may be likened to Orwell’s ‘Ministry of Love’."", ""Links: The Handmaid’s Tale (older men seeking to control women’s reproductive lives).""]",,,,30,,,
2c46f2c0-c18b-4802-a055-0aa9eda9cfc3,A Level English Literature,2022,12,JUNE,OCR,OCR-A-Level-English-Literature-Paper-2-June-2022-QP.pdf,OCR-A-Level-English-Literature-Paper-2-June-2022-MS.pdf,QUESTION 5 & 6,Dystopia,"Answer Question 5. Then answer one question from 6 (a), 6 (b) or 6 (c). You should spend 1 hour and 15 minutes on each question.",6(a),6,"George Orwell: Nineteen Eighty-Four
‘The regimes in dystopian fiction show little respect for the truth.’
By comparing Nineteen Eighty-Four with at least one other text prescribed for this topic, discuss how far you agree with this view.",30,"In your answer to Question 6, you must compare at least two texts from the following list. At least one of these must be taken from the two texts given at the top of the list in bold type.

George Orwell: Nineteen Eighty-Four
Margaret Atwood: The Handmaid’s Tale

H G Wells: The Time Machine
Aldous Huxley: Brave New World
Ray Bradbury: Fahrenheit 451
Anthony Burgess: A Clockwork Orange
J G Ballard: The Drowned World
Doris Lessing: Memoirs of a Survivor
P D James: The Children of Men
Cormac McCarthy: The Road",,,,,George Orwell: Nineteen Eighty-Four - little respect for the truth,,,,"{""conclusion"": [""Links to other texts: The Handmaid’s Tale (selective use of Old Testament), Brave New World (indoctrination via pleasure cult).""], ""introduction"": [""Discuss the Party’s control of information.""], ""body_sections"": [{""points"": [""Slogan: ‘Who controls the past controls the future: who controls the present controls the past.’"", ""Winston’s work in the Records Department: negating records and creating ‘unpersons’.""], ""sub_topic"": ""Manipulation of the Past""}, {""points"": [""‘Doublethink’: truth exists vs. what is done cannot be undone."", ""Totalitarian philosophy climax: Winston forced to believe 2 + 2 = 5."", ""Threat to independence of mind.""], ""sub_topic"": ""The Loss of Reality""}]}",,,,,
