exam_set_id,subject,year,grade,session,syllabus,question_paper_file_name,memo_file_name,group_id,group_title,group_instructions,question_id,parent_id,question_text,marks,scenario,context,options,match_data,guide_table,memo_question_text,marker_instruction,model_answers,sub_answers,essay_structure,memo_structured_answer,memo_marks,memo_max_marks,memo_notes,memo_topic
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1,,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,,"ISICATSHULWA A

UKHENKETHO OLUKONGELA IMALI

1 Ungabuza nawuphi na umkhenkethi uza kukuxelela ukuba uMzantsi Afrika lelinye lamazwe amahle ehlabathini. Unenkqubo ekuthiwa yi'Sho't Left ekhuthaza abemi beli ukuba bangayi kwamanye amazwe koko baqwalasele ukwahluka okumangalisayo eli lizwe elinako. Cinga ngaphaya kweKapa, iRhawuti kunye naseThekwini. UMzantsi Afrika uneGarden Route entle kakhulu, uMntla Koloni onesibhakabhaka esinesihota esigcwele ziinkwenkwezi kwakunye neentaba zokhahlamba zaseMpumalanga ezingakwenza ungawuvali umlomo. Ngokwale nkqubo yeSho't Left awusebenzisi mali ininzi koko uxhasa nezoqoqosho zeli utsho ubone iindawo kunye nabanye abantu abangabakhenkethi kweli.

2 Ukuba uthanda ukukhenkethela phesheya kumazwe afana neThailand, iBali, iBintan Island yaseSingapore okanye iMauritius kufuneka ubene Visa yelizwe ngalinye. I-Visa ibiza imali eninzi. Oko kungenza uzibhaqe usebenzisa imali eninzi. Kungenjalo kungangcono ukukhenkethela ilizwekazi iMelika esemazantsi lona ukwaziyo ukuthi nge-Visa enye ukhenkethele amazwana ayo amaninzi kunokukhenkethele kumazwe anjengeBolivia wona i-Visa yawo isebenziseka kwilizwe elinye kuphela. Kaloku iMelika inako konke obuya kukufumana kumazwe akhenkethelwa nge-Visa ilizwe ngalinye. IBrazil, Chile, neArgentina yimizekelo yamazwana akwiMelika esemazantsi onokuwakhenkethela nge-Visa enye futhi ukwasebenzisa imali enye eyidola esetyenziswa yiMelika. Ungenza izinto ezonwabisayo ezifana nokuya kuphola ebhitshini ukuya kutsho kwiipati zasebusuku.

3 ULesego Matabane uMphathi wezentengiso eClub Med Southern Africa ucebisa ukuba elona thuba lilungileyo abantu abanokukhenketha ngalo kuxa kungeyoholide kuba amaxabiso ayehla, batsho baphephe nomndilili. Utsho esithi ukukhenketha xa kungeyoholide kukwakunika ithuba lokuzipholela wedwa kwiiresort, uziphumlele kakuhle.

4 Kwiinkqubo ezininzi ezincedisa ukucwangcisa ihambo yakho, ISTA Travel yenye yazo. Yona inenkqubo ebizwa ngokuba yiFlexi Fares. Le nkqubo inceda ukuba ubani akwazi ukuhlawulela inqwelomoya, ukhenketho okanye amaxabiso eeholide ngokuthi ahlawule ngezavenge. Ivumela ukuba umntu aqale ngedipozithi engama-R250,00 ubuncinane, ze amane ukuyibhatala eshiyekileyo ade ayigqibe phambi kwexesha lokuhamba. Ngoko ke ubani uyasinda ekubhataleni imali eninzi ngexesha elinye. Kananjalo, akuba umkhenkethi ebhalisile waza wakhupha le mali yedipozithi ubanenyhweba yokuba ixabiso lingaguquki nokuba amandla erandi ehlile kuba oko akumchaphazeli. ISTA Travel ikwanazo neenkqubo ezininzi zokusebenza phesheya. Uninzi lwezi nkqubo lunesithintelo seminyaka yobudala, ezinye zifikelela kuma-44 eminyaka. Ezinye zazo zifuna abathathinxaxheba babe nemfundo enomsila kwakunye namava omsebenzi ngeli xesha ezinye zifuna nje isatifikethi seMatriki.

5 Kukwakho nenkqubo ebizwa ngokuba kukuvolontiya okanye ukusebenza ngeli xesha ukhenketha. Kungakunceda ukuba wonge imali ngokuthi ungayihlawuleli indawo yokuhlala okanye izidlo. Ithuba lokukhenketha ihlabathi likwenza udibane nabahlobo abatsha, ufumane amava okusebenza phesheya ude uhlawulwe umvuzo. Ukufumana uze wonge imali yamanye amazwe yinzuzo enkulu leyo. Kwiwebhusayithi enjengevoluntourism.org okanye iproject-abroad.org ungafumana uluhlu lwamathuba okukunceda uqale kwakunye nezinto ezibalulekileyo ekufuneka uzenze ngaphambi kokuba ucebe ukhenketho lwakho.

6 Ngoncedo lweteknoloji abakhenkethi bayakwazi ukubhalisa kwiindawo zokutya ezisestayileni, ukudibana nabantu abatsha, okanye ukwabelana ngabakufumeneyo kumakhasi onxibelelwano. Ukukhula kwetekhnoloji kubanika ithuba lokukhetha into abayifunayo, xa befuna ukuyenza ngelona xabiso lihle. IiApps ezinjengeSkyScanner zinceda ukuzingela iinqwelomoya ezinamaxabiso aphantsi. IAirbnb ingakunika amava okuhlala ngokungathi usekhaya kanti iUber ingakuhambisa kwizixeko eziqikelelwa kuma-600 ehlabathini. IGoogle Maps zikunika ithuba lokugcina imephu zikwakubonisa apho ukhoyo ngeli xesha uGoogle Translate ekunceda ukuba ubuze imibuzo ngolwimi ongakwaziyo ukuluthetha okanye ufumane okuninzi ngemali yakho.",,,,,ISICATSHULWA A,,,,,,,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.1,1.1,Xela ukuba uzibalula ngantoni uMzantsi Afrika ehlabathini.,1,,,,,,,,"[""Ngokuba lelinye lamazwe amahle.""]",,,,1,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.10,1.1,Kukuthini ukubhatala ngezavenge?,1,,,,,,,,"[""Kukumana ubeka iziqanaqwana zemali ide iphelele""]",,,,1,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.11,1.1,Ngqina ukuba ukubekwa kwemiqathango yobudala yinkqubo yakwaSTA Travel yingcinga ethambekele calanye.,2,,,,,,,Nayiphi kwezi.,"[""Kuba lo mqathango udlelelela abantu abaneminyaka engaphezu kwama-44"", ""kuba abantu abaneminyaka engaphezu kwama-44 abanikwa mathuba.""]",,,,2,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.12,1.1,Nika intsingiselo yegama elibhalwe ngqindilili kulo mhlathi.,2,,,,,,,,"[""Kukunikeza ngamandla akho kwinkonzo ethile ungajonganga ntlawulo"", ""kukusebenza ungajonganga ntlawulo.""]",,,,2,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.13,1.1,Chaza okuphuhliswa ligama 'likwenza' kwisivakalisi esikrwelelwe umgca ngaphantsi.,2,,,,,,,,"[""Ithuba lokukhenketha ihlabathi lingunobangela wokufumana amava"", ""ukuxhamla kumava kusisiphumo sokukhenketha.""]",,,,2,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.14,1.1,Matanisa uhlobo lwetekhnoloji kukhenketho olukuKHOLAM B kunye noncedo lwetekhnoloji olukuKHOLAM A.,3,,,,"{""column_a_items"": [{""text"": ""Zinceda ukuzingela iinqwelomoya ezinamaxabiso aphantsi"", ""label"": ""(a)""}, {""text"": ""Inika amava okuhlala ngokungathi usekhaya"", ""label"": ""(b)""}, {""text"": ""Zinika ithuba lokugcina imephu zibonise nendawo okuyo"", ""label"": ""(c)""}], ""column_a_title"": ""KHOLAM A"", ""column_b_items"": [{""text"": ""Google maps"", ""label"": ""(i)""}, {""text"": ""Skyscanner"", ""label"": ""(ii)""}, {""text"": ""Uber"", ""label"": ""(iii)""}, {""text"": ""Airbnb"", ""label"": ""(iv)""}], ""column_b_title"": ""KHOLAM B""}",,,,,"[{""value"": ""(ii) Sky Scanner"", ""sub_id"": ""(a)""}, {""value"": ""(iv) Airbnb"", ""sub_id"": ""(b)""}, {""value"": ""(i) Google Maps"", ""sub_id"": ""(c)""}]",,,3,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.15,1.1,Ingaba lungaluncedo kubakhenkethi ulwazi olukwesi sicatshulwa? Xhasa impendulo yakho.,2,,,,,,,Nayiphi impendulo echanekileyo iya kwamkeleka.,"[""Lungaluncedo kuba isicatshulwa siqulethe ulwazi oluxhobisayo malunga nokhenketho."", ""Lungangabiluncedo kuba abanye abakhenkethi abanamdla wakufunda ngazingcombolo zanto.""]",,,,2,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.2,1.1,Ikhuthaza ntoni inkqubo i'Sho't Left'?,1,,,,,,,,"[""Ukuba abemi beli bangade baye kwamanye amazwe ngeenjongo zokukhenketha koko baqwalasele ukwahluka okumangalisayo eli lizwe elinako.""]",,,,1,,,
55f3dbb4-5757-449f-99c6-30467dc2b525,IsiXhosa Ulwimi Lokuqala Olongezelelweyo (FAL) P1,2019,12,,SC/NSC,IsiXhosa-FAL-P1-May-June-2019.pdf,IsiXhosa-FAL-P1-May-June-2019-Memo.pdf,QUESTION 1,UVAVANYO LOKUQONDA,Funda esi sicatshulwa singezantsi uze uphendule imibuzo elandelayo.,1.1.3,1.1,Khankanya ibeNYE indawo enobuhle obumangalisayo ngokwalo mhlathi.,1,,,,,,,Nayiphi enye kwezi.,"[""YiGarden Route"", ""nguMntla Koloni"", ""yiMpumalanga""]",,,,1,,,
